feature,z_score,cluster
totdist,1.2371917024424408,0
att2,1.2309789428001976,0
cmp2,1.2305773707127352,0
cmp_pass_types,1.2301710780905384,0
cmp,1.2301710780905384,0
att,1.221567924897551,0
att_pass_types,1.221567924897551,0
live,1.2098321414258502,0
live_possession,1.1927099483472048,0
touches,1.1923866663289715,0
minutes_playtime,-0.8026221745801208,1
minpct,-0.8026156310511214,1
90s_pass_types,-0.8025425307333576,1
90s_playtime,-0.8025425307333576,1
90s_shooting,-0.8025425307333576,1
90s_defense,-0.8025425307333576,1
90s_passing,-0.8025425307333576,1
90s_misc,-0.8025425307333576,1
90s_possession,-0.8025425307333576,1
90s,-0.8025425307333576,1
sot,1.671883480620536,2
xg_shooting,1.6511489467749978,2
xg,1.6511489467749978,2
npxg_shooting,1.6416746431318916,2
npxg,1.6416746431318916,2
npxgplusxag,1.6233390908212657,2
gls,1.622169118127033,2
gls_shooting,1.622169118127033,2
sh_shooting,1.6138628470067629,2
att_pen,1.6115782652921922,2
