player,cluster,team,position
Aaron Cresswell,1,West Ham,DF
Aaron Ramsdale,0,Southampton,GK
Aaron Wan-Bissaka,0,West Ham,DF
Abdoulaye Doucouré,0,Everton,MF
Abdukodir Khusanov,1,Manchester City,DF
Abdul Fatawu Issahaku,1,Leicester City,FW
Adam Armstrong,1,Southampton,"FW,MF"
Adam Lallana,1,Southampton,MF
Adam Smith,1,Bournemouth,DF
Adam Webster,1,Brighton,DF
Adam Wharton,0,Crystal Palace,MF
Adama Traoré,2,Fulham,"FW,MF"
Albert Grønbaek,1,Southampton,"FW,MF"
Alejandro Garnacho,2,Manchester Utd,"MF,FW"
Alex Iwobi,2,Fulham,"FW,MF"
Alex McCarthy,1,Southampton,GK
Alex Palmer,1,Ipswich Town,GK
Alex Scott,1,Bournemouth,MF
Alexander Isak,2,Newcastle Utd,FW
Alexis Mac Allister,0,Liverpool,MF
Alfie Dorrington,1,Tottenham,DF
Alfie Pond,1,Wolves,DF
Ali Al Hamadi,1,Ipswich Town,FW
Alisson,0,Liverpool,GK
Alphonse Areola,1,West Ham,GK
Altay Bayındır,1,Manchester Utd,GK
Amad Diallo,2,Manchester Utd,"MF,FW"
Amadou Onana,0,Aston Villa,MF
Andreas Pereira,2,Fulham,MF
Andrew Robertson,0,Liverpool,DF
André,0,Wolves,MF
André Onana,0,Manchester Utd,GK
Andrés García,1,Aston Villa,"DF,MF"
Andy Irving,1,West Ham,MF
Anthony Elanga,2,Nott'ham Forest,"FW,MF"
Anthony Gordon,2,Newcastle Utd,"FW,MF"
Antoine Semenyo,2,Bournemouth,FW
Antonee Robinson,0,Fulham,DF
Antony,1,Manchester Utd,"DF,MF"
Antonín Kinský,1,Tottenham,GK
Archie Gray,0,Tottenham,"DF,MF"
Arijanet Muric,1,Ipswich Town,GK
Armando Broja,1,Everton,FW
Armel Bella Kotchap,1,Southampton,DF
Asher Agbinone,1,Crystal Palace,MF
Ashley Young,0,Everton,DF
Axel Disasi,1,Aston Villa,DF
Axel Tuanzebe,0,Ipswich Town,DF
Ayden Heaven,1,Manchester Utd,DF
Bart Verbruggen,0,Brighton,GK
Ben Brereton,1,Southampton,FW
Ben Chilwell,1,Crystal Palace,DF
Ben Davies,0,Tottenham,DF
Ben Godfrey,1,Ipswich Town,DF
Ben Johnson,1,Ipswich Town,"DF,FW"
Ben Mee,1,Brentford,DF
Ben White,1,Arsenal,DF
Ben Winterburn,1,Bournemouth,"MF,FW"
Benoît Badiashile,1,Chelsea,DF
Bernardo Silva,0,Manchester City,"MF,FW"
Bernd Leno,0,Fulham,GK
Beto,2,Everton,FW
Bilal El Khannouss,0,Leicester City,"MF,FW"
Billy Gilmour,1,Brighton,MF
Bobby De Cordova-Reid,1,Leicester City,FW
Boubacar Kamara,0,Aston Villa,MF
Boubacar Traoré,1,Wolves,MF
Boubakary Soumaré,0,Leicester City,MF
Brajan Gruda,1,Brighton,"MF,FW"
Brandon Austin,1,Tottenham,GK
Brennan Johnson,2,Tottenham,FW
Bruno Fernandes,2,Manchester Utd,MF
Bruno Guimarães,0,Newcastle Utd,MF
Bryan Mbeumo,2,Brentford,FW
Bukayo Saka,2,Arsenal,"FW,MF"
Caleb Kporha,1,Crystal Palace,DF
Caleb Okoli,1,Leicester City,DF
Callum Hudson-Odoi,2,Nott'ham Forest,"FW,MF"
Callum Wilson,1,Newcastle Utd,FW
Calvin Bassey,0,Fulham,DF
Cameron Archer,1,Southampton,FW
Cameron Burgess,1,Ipswich Town,DF
Caoimhín Kelleher,1,Liverpool,GK
Carlos Alcaraz,1,Southampton,MF
Carlos Baleba,0,Brighton,MF
Carlos Forbs,1,Wolves,"MF,FW"
Carlos Soler,1,West Ham,"MF,FW"
Carlos Vinícius,1,Fulham,"MF,FW"
Casemiro,0,Manchester Utd,MF
Chadi Riad,1,Crystal Palace,DF
Charlie Taylor,1,Southampton,DF
Cheick Doucouré,1,Crystal Palace,MF
Chidozie Obi-Martin,1,Manchester Utd,FW
Chiedozie Ogbene,1,Ipswich Town,FW
Chiquinho,1,Wolves,MF
Chris Richards,0,Crystal Palace,DF
Chris Wood,2,Nott'ham Forest,FW
Christian Eriksen,2,Manchester Utd,MF
Christian Nørgaard,0,Brentford,MF
Christian Walton,1,Ipswich Town,GK
Christopher Nkunku,2,Chelsea,FW
Claudio Echeverri,1,Manchester City,FW
Cody Gakpo,2,Liverpool,FW
Cole Palmer,2,Chelsea,"MF,FW"
Conor Bradley,1,Liverpool,DF
