player,row_id,rk,nation,position,team,age,born,mp,starts,minutes,90s,gls,ast,gplusa,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxgplusxag,prgc,prgp,prgr,gls1,ast1,gplusa1,g_pk1,gplusa_pk,xg1,xag1,xgplusxag,npxg1,npxgplusxag1,row_id_misc,rk_misc,nation_misc,position_misc,team_misc,age_misc,born_misc,90s_misc,crdy_misc,crdr_misc,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,wonpct,row_id_passing,rk_passing,nation_passing,position_passing,team_passing,age_passing,born_passing,90s_passing,cmp,att,cmppct,totdist,prgdist,cmp1,att1,cmppct1,cmp2,att2,cmppct2,cmp3,att3,cmppct3,ast_passing,xag_passing,xa,a_xag,kp,1_per_3,ppa,crspa,prgp_passing,row_id_playtime,rk_playtime,nation_playtime,position_playtime,team_playtime,age_playtime,born_playtime,mp_playtime,minutes_playtime,mn_per_mp,minpct,90s_playtime,starts_playtime,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,ong,onga,#error!,#error!1,on_off,onxg,onxga,xgplus_per_,xgplus_per_90,on_off1,row_id_defense,rk_defense,nation_defense,position_defense,team_defense,age_defense,born_defense,90s_defense,tkl,tklw_defense,def_3rd,mid_3rd,att_3rd,tkl1,att_defense,tklpct,lost_defense,blocks,sh,pass,int_defense,tklplusint,clr,err,row_id_pass_types,rk_pass_types,nation_pass_types,position_pass_types,team_pass_types,age_pass_types,born_pass_types,90s_pass_types,att_pass_types,live,dead,fk,tb,sw,crs_pass_types,ti,ck,in,out,str,cmp_pass_types,off_pass_types,blocks_pass_types,row_id_creation,rk_creation,nation_creation,position_creation,team_creation,age_creation,born_creation,90s_creation,sca,sca90,passlive,passdead,to,sh_creation,fld_creation,def,gca,gca90,passlive1,passdead1,to1,sh1,fld1,def1,row_id_possession,rk_possession,nation_possession,position_possession,team_possession,age_possession,born_possession,90s_possession,touches,def_pen,def_3rd_possession,mid_3rd_possession,att_3rd_possession,att_pen,live_possession,att_possession,succ,succpct,tkld,tkldpct,carries,totdist_possession,prgdist_possession,prgc_possession,1_per_3_possession,cpa,mis,dis,rec,prgr_possession,row_id_shooting,rk_shooting,nation_shooting,position_shooting,team_shooting,age_shooting,born_shooting,90s_shooting,gls_shooting,sh_shooting,sot,sotpct,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk_shooting,pk_shooting,pkatt_shooting,xg_shooting,npxg_shooting,npxg_per_sh,g_xg,np:g_xg,data_source
Aaron Cresswell,116,113,eng ENG,DF,West Ham,34,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0,0,0,0,0,0.03,0.15,0.17,0.03,0.17,116,113,eng ENG,DF,West Ham,34,1989,9.2,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50,116,113,eng ENG,DF,West Ham,34,1989,9.2,504,610,82.6,9299,3625,229,249,92,212,241,88,58,107,54.2,0,1.3,1.9,-1.3,9,52,5,2,36,145,141,eng ENG,DF,West Ham,34,1989,18,824,46,24.1,9.2,10,76,4,8,8,13,1.78,8,8,0,0,0.55,9.7,12.7,-3,-0.32,0.01,116,113,eng ENG,DF,West Ham,34,1989,9.2,11,7,5,5,1,9,11,81.8,2,9,4,5,8,19,37,0,116,113,eng ENG,DF,West Ham,34,1989,9.2,610,511,98,33,1,5,36,52,13,11,2,0,504,1,10,116,113,eng ENG,DF,West Ham,34,1989,9.2,15,1.64,7,8,0,0,0,0,0,0,0,0,0,0,0,0,116,113,eng ENG,DF,West Ham,34,1989,9.2,687,45,270,328,94,2,687,2,1,50,1,50,291,1102,526,6,8,0,4,0,437,4,116,113,eng ENG,DF,West Ham,34,1989,9.2,0,5,0,0,0.55,0,0,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2,fbref_2024_25
Aaron Ramsdale,440,425,eng ENG,GK,Southampton,26,1998,30,30,"2,700",30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,425,eng ENG,GK,Southampton,26,1998,30,2,0,0,1,4,0,0,2,0,0,0,0,23,6,0,100,440,425,eng ENG,GK,Southampton,26,1998,30,774,1223,63.3,21949,16992,209,210,99.5,302,313,96.5,257,686,37.5,0,0,0.1,0,0,36,1,0,0,1083,522,eng ENG,GK,Arsenal,26,1998,0,"2,700",90,78.9,30,0,90,0,0,,2,0.37,21,66,-45,-1.5,0.38,25,64.9,-39.8,-1.33,0.21,440,425,eng ENG,GK,Southampton,26,1998,30,0,0,0,0,0,0,3,0,3,0,0,0,2,2,10,3,440,425,eng ENG,GK,Southampton,26,1998,30,1223,918,298,108,0,4,0,0,0,0,0,0,774,7,1,440,425,eng ENG,GK,Southampton,26,1998,30,3,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,440,425,eng ENG,GK,Southampton,26,1998,30,1314,946,1286,32,0,0,1314,0,0,,0,,786,4017,2349,0,0,0,3,0,702,0,440,425,eng ENG,GK,Southampton,26,1998,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,fbref_2024_25
Aaron Wan-Bissaka,563,543,cd COD,DF,West Ham,26,1997,36,35,"3,154",35,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,563,543,cd COD,DF,West Ham,26,1997,35,1,0,0,25,27,5,76,66,49,0,0,1,174,22,33,40,563,543,cd COD,DF,West Ham,26,1997,35,1472,1815,81.1,20696,7523,953,1056,90.2,449,550,81.6,48,105,45.7,5,3.5,2.8,1.5,33,94,35,11,149,685,660,cd COD,DF,West Ham,26,1997,36,"3,154",88,92.2,35,35,89,33,1,29,1,1.17,44,59,-15,-0.43,-0.09,42.3,56.2,-13.9,-0.4,-0.8,563,543,cd COD,DF,West Ham,26,1997,35,70,49,33,32,5,23,32,71.9,9,37,11,26,66,136,125,0,563,543,cd COD,DF,West Ham,26,1997,35,1815,1568,243,11,5,1,76,232,0,0,0,0,1472,4,62,563,543,cd COD,DF,West Ham,26,1997,35,93,2.65,75,4,7,3,2,2,10,0.29,9,0,0,1,0,0,563,543,cd COD,DF,West Ham,26,1997,35,2256,147,682,969,637,48,2256,122,64,52.5,43,35.2,1092,6700,3661,110,65,15,35,22,1322,167,563,543,cd COD,DF,West Ham,26,1997,35,2,16,5,31.3,0.46,0.14,0.13,0.4,15.1,0,0,0,1.2,1.2,0.07,0.8,0.8,fbref_2024_25
Abdoulaye Doucouré,151,147,ml MLI,MF,Everton,31,1993,33,31,"2,564",28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,151,147,ml MLI,MF,Everton,31,1993,28.5,5,1,1,49,5,10,23,10,28,0,0,0,150,30,44,40.5,151,147,ml MLI,MF,Everton,31,1993,28.5,725,903,80.3,10909,2254,382,446,85.7,263,316,83.2,44,60,73.3,2,2.4,1.4,-0.4,28,44,15,0,82,185,179,ml MLI,MF,Everton,31,1993,33,"2,564",78,75,28.5,31,82,16,2,12,1,1.3,28,33,-5,-0.18,-0.49,31,34.8,-3.8,-0.13,-0.07,151,147,ml MLI,MF,Everton,31,1993,28.5,48,28,21,20,7,14,43,32.6,29,31,6,25,10,58,20,1,151,147,ml MLI,MF,Everton,31,1993,28.5,903,884,14,5,0,2,23,0,0,0,0,0,725,5,27,151,147,ml MLI,MF,Everton,31,1993,28.5,58,2.04,52,0,3,2,0,1,3,0.11,2,0,0,0,0,1,151,147,ml MLI,MF,Everton,31,1993,28.5,1161,32,225,538,413,65,1161,45,24,53.3,21,46.7,604,2952,1396,42,26,8,38,38,750,96,151,147,ml MLI,MF,Everton,31,1993,28.5,3,31,9,29,1.09,0.32,0.1,0.33,14,0,0,0,4.1,4.1,0.13,-1.1,-1.1,fbref_2024_25
Abdukodir Khusanov,294,284,uz UZB,DF,Manchester City,20,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,25,2,0,0,0,0,0,0,0.02,0.02,0,0.02,294,284,uz UZB,DF,Manchester City,20,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60,294,284,uz UZB,DF,Manchester City,20,2004,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,355,343,uz UZB,DF,Manchester City,20,2004,6,503,84,14.7,5.6,6,84,5,0,,5,1.67,8,6,2,0.36,-0.44,9,7,2.1,0.37,-0.19,294,284,uz UZB,DF,Manchester City,20,2004,5.6,5,4,4,1,0,2,3,66.7,1,5,4,1,3,8,29,1,294,284,uz UZB,DF,Manchester City,20,2004,5.6,395,385,10,6,0,1,1,3,0,0,0,0,360,0,3,294,284,uz UZB,DF,Manchester City,20,2004,5.6,5,0.89,5,0,0,0,0,0,0,0,0,0,0,0,0,0,294,284,uz UZB,DF,Manchester City,20,2004,5.6,445,45,205,211,31,1,445,2,0,0,2,100,274,1155,435,1,1,0,2,1,332,2,294,284,uz UZB,DF,Manchester City,20,2004,5.6,0,1,0,0,0.18,0,0,,23.9,0,0,0,0,0,0.02,0,0,fbref_2024_25
Abdul Fatawu Issahaku,183,177,gh GHA,FW,Leicester City,20,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2,42,17,60,0,0.31,0.31,0,0.31,0.06,0.24,0.31,0.06,0.31,183,177,gh GHA,FW,Leicester City,20,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,183,177,gh GHA,FW,Leicester City,20,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,0.4,6,7,7,2,17,219,212,gh GHA,FW,Leicester City,20,2004,11,579,53,16.9,6.4,6,86,5,5,12,0,0.91,7,14,-7,-1.09,0.18,6.8,10.7,-3.9,-0.6,0.52,183,177,gh GHA,FW,Leicester City,20,2004,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0,183,177,gh GHA,FW,Leicester City,20,2004,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18,183,177,gh GHA,FW,Leicester City,20,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,183,177,gh GHA,FW,Leicester City,20,2004,6.4,326,19,73,114,157,26,326,69,29,42,28,40.6,217,1869,1055,42,24,15,18,12,216,60,183,177,gh GHA,FW,Leicester City,20,2004,6.4,0,13,5,38.5,2.02,0.78,0,0,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,fbref_2024_25
Adam Armstrong,34,34,eng ENG,"FW,MF",Southampton,27,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,34,34,eng ENG,"FW,MF",Southampton,27,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,34,34,eng ENG,"FW,MF",Southampton,27,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,0.8,9,10,8,2,21,44,44,eng ENG,"FW,MF",Southampton,27,1997,20,"1,248",62,36.5,13.9,15,75,4,5,25,4,0.3,7,35,-28,-2.02,-0.69,12.8,32.4,-19.6,-1.41,-0.07,34,34,eng ENG,"FW,MF",Southampton,27,1997,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,34,34,eng ENG,"FW,MF",Southampton,27,1997,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12,34,34,eng ENG,"FW,MF",Southampton,27,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,34,34,eng ENG,"FW,MF",Southampton,27,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,34,34,eng ENG,"FW,MF",Southampton,27,1997,13.9,2,25,7,28,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,fbref_2024_25
Adam Lallana,309,299,eng ENG,MF,Southampton,36,1988,14,5,361,4,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0,0.5,0.5,0,0.5,0.04,0.23,0.27,0.04,0.27,309,299,eng ENG,MF,Southampton,36,1988,4,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50,309,299,eng ENG,MF,Southampton,36,1988,4,221,260,85,2891,980,147,165,89.1,61,67,91,4,9,44.4,2,0.9,0.5,1.1,4,21,9,3,24,375,362,eng ENG,MF,Southampton,36,1988,14,361,26,10.6,4,5,51,0,9,12,6,0.5,3,8,-5,-1.25,0.37,4.2,7.9,-3.8,-0.94,0.48,309,299,eng ENG,MF,Southampton,36,1988,4,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0,309,299,eng ENG,MF,Southampton,36,1988,4,260,255,4,3,1,0,4,0,0,0,0,0,221,1,3,309,299,eng ENG,MF,Southampton,36,1988,4,9,2.24,8,0,0,0,1,0,2,0.5,2,0,0,0,0,0,309,299,eng ENG,MF,Southampton,36,1988,4,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10,309,299,eng ENG,MF,Southampton,36,1988,4,0,3,0,0,0.75,0,0,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,fbref_2024_25
Adam Smith,496,478,eng ENG,DF,Bournemouth,33,1991,25,19,"1,590",17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,496,478,eng ENG,DF,Bournemouth,33,1991,17.7,7,0,0,19,12,0,33,15,12,0,0,0,50,14,15,48.3,496,478,eng ENG,DF,Bournemouth,33,1991,17.7,514,679,75.7,8452,2723,244,275,88.7,222,279,79.6,32,89,36,0,0.4,0.7,-0.4,8,49,10,5,49,610,588,eng ENG,DF,Bournemouth,33,1991,25,"1,590",64,46.5,17.7,19,75,7,6,28,1,1.48,25,18,7,0.4,0.15,29.7,18.9,10.8,0.61,0.38,496,478,eng ENG,DF,Bournemouth,33,1991,17.7,24,12,11,7,6,14,27,51.9,13,13,5,8,15,39,49,1,496,478,eng ENG,DF,Bournemouth,33,1991,17.7,679,550,128,9,1,2,33,119,0,0,0,0,514,1,15,496,478,eng ENG,DF,Bournemouth,33,1991,17.7,23,1.3,17,1,1,0,3,1,2,0.11,1,0,0,0,1,0,496,478,eng ENG,DF,Bournemouth,33,1991,17.7,825,41,240,394,197,8,825,16,6,37.5,7,43.8,366,1552,711,15,18,1,13,7,403,34,496,478,eng ENG,DF,Bournemouth,33,1991,17.7,0,3,0,0,0.17,0,0,,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7,fbref_2024_25
Adam Webster,569,549,eng ENG,DF,Brighton,29,1995,14,11,887,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,569,549,eng ENG,DF,Brighton,29,1995,9.9,1,0,0,7,2,1,2,20,6,0,1,0,35,24,6,80,569,549,eng ENG,DF,Brighton,29,1995,9.9,636,725,87.7,11765,4541,242,257,94.2,333,354,94.1,53,97,54.6,0,0.5,0.3,-0.5,3,64,2,0,63,691,666,eng ENG,DF,Brighton,29,1995,14,887,63,25.9,9.9,11,77,8,3,14,7,2.29,26,11,15,1.52,1.81,19,14.3,4.6,0.47,0.49,569,549,eng ENG,DF,Brighton,29,1995,9.9,10,6,5,4,1,6,14,42.9,8,16,9,7,20,30,41,2,569,549,eng ENG,DF,Brighton,29,1995,9.9,725,650,73,30,0,3,2,0,0,0,0,0,636,2,5,569,549,eng ENG,DF,Brighton,29,1995,9.9,14,1.42,10,2,0,2,0,0,4,0.41,2,1,0,1,0,0,569,549,eng ENG,DF,Brighton,29,1995,9.9,824,119,389,399,43,15,824,3,1,33.3,2,66.7,476,2600,1475,8,6,0,5,1,552,2,569,549,eng ENG,DF,Brighton,29,1995,9.9,0,5,1,20,0.51,0.1,0,0,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,fbref_2024_25
