player,row_id,rk,nation,position,team,age,born,mp,starts,minutes,90s,gls,ast,gplusa,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxgplusxag,prgc,prgp,prgr,gls1,ast1,gplusa1,g_pk1,gplusa_pk,xg1,xag1,xgplusxag,npxg1,npxgplusxag1,row_id_misc,rk_misc,nation_misc,position_misc,team_misc,age_misc,born_misc,90s_misc,crdy_misc,crdr_misc,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,wonpct,row_id_passing,rk_passing,nation_passing,position_passing,team_passing,age_passing,born_passing,90s_passing,cmp,att,cmppct,totdist,prgdist,cmp1,att1,cmppct1,cmp2,att2,cmppct2,cmp3,att3,cmppct3,ast_passing,xag_passing,xa,a_xag,kp,1_per_3,ppa,crspa,prgp_passing,row_id_playtime,rk_playtime,nation_playtime,position_playtime,team_playtime,age_playtime,born_playtime,mp_playtime,minutes_playtime,mn_per_mp,minpct,90s_playtime,starts_playtime,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,ong,onga,#error!,#error!1,on_off,onxg,onxga,xgplus_per_,xgplus_per_90,on_off1,row_id_defense,rk_defense,nation_defense,position_defense,team_defense,age_defense,born_defense,90s_defense,tkl,tklw_defense,def_3rd,mid_3rd,att_3rd,tkl1,att_defense,tklpct,lost_defense,blocks,sh,pass,int_defense,tklplusint,clr,err,row_id_pass_types,rk_pass_types,nation_pass_types,position_pass_types,team_pass_types,age_pass_types,born_pass_types,90s_pass_types,att_pass_types,live,dead,fk,tb,sw,crs_pass_types,ti,ck,in,out,str,cmp_pass_types,off_pass_types,blocks_pass_types,row_id_creation,rk_creation,nation_creation,position_creation,team_creation,age_creation,born_creation,90s_creation,sca,sca90,passlive,passdead,to,sh_creation,fld_creation,def,gca,gca90,passlive1,passdead1,to1,sh1,fld1,def1,row_id_possession,rk_possession,nation_possession,position_possession,team_possession,age_possession,born_possession,90s_possession,touches,def_pen,def_3rd_possession,mid_3rd_possession,att_3rd_possession,att_pen,live_possession,att_possession,succ,succpct,tkld,tkldpct,carries,totdist_possession,prgdist_possession,prgc_possession,1_per_3_possession,cpa,mis,dis,rec,prgr_possession,row_id_shooting,rk_shooting,nation_shooting,position_shooting,team_shooting,age_shooting,born_shooting,90s_shooting,gls_shooting,sh_shooting,sot,sotpct,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk_shooting,pk_shooting,pkatt_shooting,xg_shooting,npxg_shooting,npxg_per_sh,g_xg,np:g_xg,data_source,prgp_per90,prgc_per90,succ_per90,kp_per90,sca_per90,xag_per90,tkl_per90,int_per90,recov_per90,blocks_per90,gls_per90,xg_per90,sot_per90,g_per_sh_per90,PI,CCI,DA,FE
Aaron Cresswell,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,18.0,10.0,824.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,9.2,3.0,0.0,0.0,4.0,2.0,0.0,36.0,8.0,7.0,0.0,0.0,0.0,36.0,7.0,7.0,50.0,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,9.2,504.0,610.0,82.6,9299.0,3625.0,229.0,249.0,92.0,212.0,241.0,88.0,58.0,107.0,54.2,0.0,1.3,1.9,1.3,9.0,52.0,5.0,2.0,36.0,145,141.0,eng ENG,DF,West Ham,33.0,1991.0,18.0,824.0,46.0,24.1,9.2,10.0,76.0,4.0,8.0,8.0,13.0,1.78,8.0,8.0,0.0,0.0,0.55,9.7,12.7,3.0,0.32,0.04,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,9.2,11.0,7.0,5.0,5.0,1.0,9.0,11.0,81.8,2.0,9.0,4.0,5.0,8.0,19.0,37.0,0.0,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,9.2,610.0,511.0,98.0,33.0,1.0,5.0,36.0,52.0,13.0,11.0,2.0,0.0,504.0,1.0,10.0,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,9.2,15.0,1.64,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,9.2,687.0,45.0,270.0,328.0,94.0,2.0,687.0,2.0,1.0,50.0,1.0,50.0,291.0,1102.0,526.0,6.0,8.0,0.0,4.0,0.0,437.0,4.0,116,113.0,eng ENG,DF,West Ham,33.0,1991.0,9.2,0.0,5.0,0.0,0.0,0.55,0.0,0.0,,23.8,2.0,0.0,0.0,0.2,0.2,0.05,0.2,0.2,fbref_2024_25,3.9320388349514563,0.6553398058252428,0.10922330097087378,0.9830097087378641,1.6383495145631068,0.14199029126213591,1.2014563106796117,0.8737864077669902,3.9320388349514563,0.9830097087378641,0.0,0.021844660194174758,0.0,0.0,-0.14784706506010775,0.049037911674863516,-0.010753488423854499,-0.3220969809605437
Aaron Ramsdale,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,100.0,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,774.0,1223.0,63.3,21949.0,10928.0,209.0,210.0,99.5,302.0,313.0,96.5,157.0,289.0,37.5,0.0,0.0,0.1,0.0,0.0,36.0,1.0,0.0,0.0,699,522.0,eng ENG,GK,Arsenal,26.0,1998.0,1.0,2700.0,90.0,78.9,30.0,0.0,90.0,0.0,0.0,,2.0,0.37,21.0,53.0,34.0,1.5,0.38,25.0,49.1,26.5,1.33,0.21,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,10.0,3.0,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,1223.0,918.0,243.0,68.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,7.0,1.0,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,1314.0,385.0,1038.0,32.0,0.0,0.0,1314.0,0.0,0.0,,0.0,,786.0,4017.0,2349.0,0.0,0.0,0.0,3.0,0.0,702.0,0.0,440,425.0,eng ENG,GK,Southampton,26.0,1998.0,30.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,fbref_2024_25,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.06666666666666667,0.7666666666666667,0.0,0.0,0.0,0.0,,-0.7049679411012977,-0.7395817709366928,-0.6134231604201767,
Aaron Wan-Bissaka,563,543.0,cd COD,DF,West Ham,26.0,1997.0,36.0,35.0,3122.0,34.7,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,100.0,149.0,167.0,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,563,543.0,cd COD,DF,West Ham,26.0,1997.0,34.7,1.0,0.0,0.0,25.0,27.0,5.0,76.0,37.0,46.0,0.0,0.0,0.0,157.0,22.0,33.0,40.0,563,543.0,cd COD,DF,West Ham,26.0,1997.0,34.7,1472.0,1798.0,81.1,20696.0,7523.0,721.0,789.0,90.2,449.0,550.0,81.6,48.0,105.0,45.7,5.0,3.5,2.8,1.5,33.0,94.0,35.0,11.0,149.0,685,660.0,cd COD,DF,West Ham,26.0,1997.0,36.0,3122.0,88.0,91.3,34.7,35.0,89.0,32.0,1.0,29.0,1.0,1.17,44.0,53.0,15.0,0.43,0.09,42.3,49.1,13.9,0.4,0.8,563,543.0,cd COD,DF,West Ham,26.0,1997.0,34.7,70.0,46.0,33.0,30.0,5.0,23.0,32.0,71.9,9.0,37.0,11.0,26.0,37.0,107.0,125.0,0.0,563,543.0,cd COD,DF,West Ham,26.0,1997.0,34.7,1798.0,1568.0,243.0,11.0,5.0,1.0,76.0,147.0,0.0,0.0,0.0,0.0,1472.0,4.0,38.0,563,543.0,cd COD,DF,West Ham,26.0,1997.0,34.7,93.0,2.65,74.0,4.0,7.0,3.0,2.0,2.0,10.0,0.29,9.0,0.0,0.0,1.0,0.0,0.0,563,543.0,cd COD,DF,West Ham,26.0,1997.0,34.7,2139.0,147.0,682.0,969.0,637.0,48.0,2139.0,97.0,41.0,52.5,43.0,35.2,1092.0,6700.0,3661.0,100.0,61.0,15.0,35.0,22.0,1322.0,167.0,563,543.0,cd COD,DF,West Ham,26.0,1997.0,34.7,2.0,16.0,5.0,31.3,0.46,0.14,0.13,0.4,15.1,0.0,0.0,0.0,1.2,1.2,0.07,0.8,0.8,fbref_2024_25,4.251743817374762,3.1388712745719722,1.8262523779327837,0.9416613823715916,2.653772986683576,0.09987317691819911,1.9974635383639823,1.836734693877551,4.965123652504756,1.0558021559923907,0.05707038681039949,0.03424223208623969,0.14267596702599875,0.0037095751426759675,0.36388537405944044,0.10801798120189098,0.41610662886987604,-0.20438388833320156
Abdoulaye Doucouré,151,147.0,ml MLI,MF,Everton,31.0,1993.0,33.0,31.0,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,4.1,4.1,2.4,6.6,42.0,82.0,96.0,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,151,147.0,ml MLI,MF,Everton,31.0,1993.0,28.5,5.0,1.0,0.0,46.0,5.0,10.0,23.0,10.0,28.0,0.0,0.0,0.0,150.0,30.0,44.0,40.5,151,147.0,ml MLI,MF,Everton,31.0,1993.0,28.5,725.0,903.0,80.3,10909.0,2254.0,382.0,446.0,85.7,263.0,316.0,83.2,44.0,60.0,73.3,2.0,2.4,1.4,0.4,28.0,44.0,15.0,0.0,82.0,185,179.0,ml MLI,MF,Everton,31.0,1993.0,33.0,2564.0,78.0,75.0,28.5,31.0,82.0,16.0,2.0,12.0,1.0,1.3,28.0,33.0,5.0,0.18,0.49,31.0,34.8,3.8,0.13,0.07,151,147.0,ml MLI,MF,Everton,31.0,1993.0,28.5,48.0,28.0,21.0,20.0,7.0,14.0,43.0,32.6,29.0,31.0,6.0,25.0,10.0,58.0,20.0,1.0,151,147.0,ml MLI,MF,Everton,31.0,1993.0,28.5,903.0,884.0,14.0,5.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,725.0,5.0,27.0,151,147.0,ml MLI,MF,Everton,31.0,1993.0,28.5,58.0,2.04,52.0,0.0,3.0,2.0,0.0,1.0,3.0,0.11,2.0,0.0,0.0,0.0,0.0,1.0,151,147.0,ml MLI,MF,Everton,31.0,1993.0,28.5,1161.0,32.0,225.0,538.0,413.0,65.0,1161.0,45.0,24.0,53.3,21.0,46.7,604.0,2952.0,1396.0,42.0,26.0,8.0,38.0,38.0,750.0,96.0,151,147.0,ml MLI,MF,Everton,31.0,1993.0,28.5,3.0,31.0,9.0,29.0,1.09,0.32,0.1,0.33,14.0,0.0,0.0,0.0,4.1,4.1,0.13,1.1,1.1,fbref_2024_25,2.8783151326053042,1.4742589703588143,0.8424336973478939,0.982839313572543,2.0358814352574104,0.0842433697347894,1.6848673946957877,0.35101404056162244,5.265210608424337,1.0881435257410297,0.10530421216848673,0.14391575663026518,0.3159126365054602,0.0035101404056162248,-0.10299215117311528,-0.024022393547453714,-0.06465193314880688,-0.03877348341687736
Abdukodir Khusanov,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,6.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,5.6,1.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,27.0,6.0,4.0,60.0,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,5.6,360.0,395.0,91.1,6126.0,1976.0,160.0,169.0,94.7,191.0,197.0,97.0,6.0,23.0,29.7,0.0,0.1,0.1,0.1,2.0,23.0,0.0,0.0,25.0,355,343.0,uz UZB,DF,Manchester City,20.0,2004.0,6.0,503.0,84.0,14.7,5.6,6.0,84.0,5.0,0.0,,5.0,1.67,8.0,6.0,2.0,0.36,0.44,9.0,7.0,2.1,0.37,0.19,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,5.6,5.0,4.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,5.0,4.0,1.0,3.0,8.0,29.0,1.0,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,5.6,395.0,385.0,10.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,360.0,0.0,3.0,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,5.6,5.0,0.89,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,5.6,445.0,45.0,205.0,211.0,31.0,1.0,445.0,2.0,0.0,0.0,2.0,100.0,274.0,1155.0,435.0,1.0,1.0,0.0,2.0,1.0,332.0,2.0,294,284.0,uz UZB,DF,Manchester City,20.0,2004.0,5.6,0.0,1.0,0.0,0.0,0.18,0.0,0.0,,23.9,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,fbref_2024_25,4.473161033797217,0.17892644135188868,0.0,0.35785288270377735,0.8946322067594433,0.017892644135188866,0.8946322067594433,0.536779324055666,4.831013916500994,0.8946322067594433,0.0,0.0,0.0,0.0,-0.16578671152508845,-0.49491045667215033,-0.07843729873041345,-0.3373035842113405
Abdul Fatawu Issahaku,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,11.0,6.0,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,6.4,0.0,0.0,0.0,11.0,20.0,2.0,30.0,4.0,15.0,0.0,0.0,0.0,38.0,14.0,13.0,51.9,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,6.4,123.0,197.0,62.4,2150.0,601.0,59.0,81.0,72.8,45.0,59.0,76.3,16.0,33.0,48.5,2.0,1.6,1.4,0.4,6.0,7.0,7.0,2.0,17.0,219,212.0,gh GHA,FW,Leicester City,20.0,2004.0,11.0,579.0,53.0,16.9,6.4,6.0,86.0,5.0,5.0,12.0,0.0,0.91,7.0,14.0,7.0,1.09,0.18,6.8,10.7,3.9,0.6,0.52,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,6.4,21.0,15.0,13.0,2.0,6.0,11.0,19.0,57.9,8.0,7.0,0.0,7.0,4.0,25.0,12.0,0.0,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,6.4,197.0,186.0,11.0,1.0,2.0,2.0,30.0,9.0,1.0,0.0,0.0,0.0,123.0,0.0,18.0,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,6.4,17.0,2.64,10.0,0.0,2.0,1.0,4.0,0.0,3.0,0.47,2.0,0.0,0.0,1.0,0.0,0.0,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,6.4,326.0,19.0,73.0,114.0,157.0,26.0,326.0,69.0,29.0,42.0,28.0,40.6,217.0,1869.0,1055.0,42.0,24.0,15.0,18.0,12.0,216.0,60.0,183,177.0,gh GHA,FW,Leicester City,20.0,2004.0,6.4,0.0,13.0,5.0,38.5,2.02,0.78,0.0,0.0,31.2,0.0,0.0,0.0,0.4,0.4,0.03,0.4,0.4,fbref_2024_25,2.6424870466321244,5.04802151363811,2.295918367346939,0.9326424870466321,2.6424870466321244,0.24870466321243523,3.2642487046632125,0.6217616580310881,5.9067357512953365,1.0880829015544042,0.0,0.06217616580310881,0.7772020725388601,0.0,0.8459271032251364,0.46250743397399785,0.11788762226639952,-0.25382391028230833
Adam Armstrong,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,20.0,15.0,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,4.0,0.0,0.0,12.0,5.0,9.0,14.0,3.0,3.0,0.0,0.0,0.0,23.0,5.0,9.0,35.7,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,231.0,288.0,80.2,3320.0,446.0,138.0,158.0,87.3,81.0,95.0,85.3,6.0,13.0,46.2,2.0,1.2,0.6,0.8,9.0,10.0,8.0,2.0,21.0,44,44.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,20.0,1248.0,62.0,36.5,13.9,15.0,75.0,4.0,5.0,25.0,4.0,0.3,7.0,35.0,28.0,2.02,0.69,12.8,32.4,19.6,1.41,0.07,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,12.0,3.0,2.0,7.0,3.0,3.0,14.0,21.4,11.0,6.0,1.0,5.0,3.0,15.0,8.0,0.0,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,288.0,268.0,18.0,0.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,231.0,2.0,12.0,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,19.0,1.37,12.0,1.0,2.0,4.0,0.0,0.0,4.0,0.29,1.0,0.0,0.0,1.0,0.0,0.0,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,377.0,11.0,44.0,143.0,192.0,49.0,376.0,14.0,6.0,42.9,8.0,57.1,235.0,1324.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,34,34.0,eng ENG,"FW,MF",Southampton,27.0,1997.0,13.9,2.0,25.0,7.0,28.0,1.8,0.5,0.08,0.29,16.6,0.0,0.0,1.0,3.3,2.3,0.09,1.3,0.3,fbref_2024_25,1.5144230769230769,1.8028846153846154,0.4326923076923077,0.6490384615384616,1.3701923076923077,0.08653846153846154,0.8653846153846154,0.21634615384615385,1.6586538461538463,0.4326923076923077,0.14423076923076922,0.23798076923076922,0.5048076923076923,0.0057692307692307696,-0.22888543711058576,-0.19404022705646592,-0.43618708546938073,0.1053876094599674
Adam Lallana,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,14.0,5.0,361.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,6.0,24.0,10.0,0.0,0.31,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,4.0,4.0,0.0,0.0,8.0,8.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,19.0,2.0,2.0,50.0,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,4.0,221.0,260.0,85.0,2891.0,980.0,147.0,165.0,89.1,61.0,67.0,91.0,4.0,9.0,44.4,2.0,0.9,0.5,1.1,4.0,21.0,9.0,3.0,24.0,375,362.0,eng ENG,MF,Southampton,33.0,1991.0,14.0,361.0,26.0,10.6,4.0,5.0,62.0,0.0,9.0,12.0,6.0,0.5,3.0,8.0,5.0,1.25,0.37,4.2,7.9,3.8,0.94,0.48,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,4.0,8.0,5.0,4.0,4.0,0.0,2.0,12.0,16.7,10.0,4.0,1.0,3.0,5.0,13.0,5.0,0.0,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,4.0,260.0,255.0,4.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,221.0,1.0,3.0,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,4.0,9.0,2.24,8.0,0.0,0.0,0.0,1.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,4.0,318.0,19.0,91.0,155.0,73.0,6.0,318.0,12.0,5.0,41.7,5.0,41.7,178.0,831.0,366.0,6.0,8.0,0.0,10.0,6.0,245.0,10.0,309,299.0,eng ENG,MF,Southampton,33.0,1991.0,4.0,0.0,3.0,0.0,0.0,0.75,0.0,0.0,,18.1,0.0,0.0,0.0,0.2,0.2,0.06,0.2,0.2,fbref_2024_25,5.983379501385041,1.4958448753462603,1.2465373961218837,0.997229916897507,2.2437673130193905,0.22437673130193905,1.994459833795014,1.2465373961218837,4.7368421052631575,0.997229916897507,0.0,0.04986149584487535,0.0,0.0,0.2761594678411471,0.350452506460288,0.19039591274076076,-0.30259377512918945
Adam Smith,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,25.0,19.0,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,0.4,1.1,15.0,49.0,34.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,7.0,0.0,0.0,19.0,12.0,0.0,33.0,15.0,12.0,0.0,0.0,0.0,50.0,14.0,15.0,48.3,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,514.0,679.0,75.7,8452.0,2723.0,244.0,275.0,88.7,222.0,279.0,79.6,32.0,89.0,36.0,0.0,0.4,0.7,0.4,8.0,49.0,10.0,5.0,49.0,610,588.0,eng ENG,DF,Bournemouth,33.0,1991.0,25.0,1590.0,64.0,46.5,17.7,19.0,75.0,7.0,6.0,28.0,1.0,1.48,25.0,18.0,7.0,0.4,0.15,29.7,18.9,10.8,0.61,0.38,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,24.0,12.0,11.0,7.0,6.0,14.0,27.0,51.9,13.0,13.0,5.0,8.0,15.0,39.0,49.0,1.0,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,679.0,550.0,128.0,9.0,1.0,2.0,33.0,119.0,0.0,0.0,0.0,0.0,514.0,1.0,15.0,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,23.0,1.3,17.0,1.0,1.0,0.0,3.0,1.0,2.0,0.11,1.0,0.0,0.0,0.0,1.0,0.0,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,825.0,41.0,240.0,394.0,197.0,8.0,825.0,16.0,6.0,37.5,7.0,43.8,366.0,1552.0,711.0,15.0,18.0,1.0,13.0,7.0,403.0,34.0,496,478.0,eng ENG,DF,Bournemouth,33.0,1991.0,17.7,0.0,3.0,0.0,0.0,0.17,0.0,0.0,,16.9,0.0,0.0,0.0,0.7,0.7,0.22,0.7,0.7,fbref_2024_25,2.7735849056603774,0.8490566037735849,0.33962264150943394,0.4528301886792453,1.3018867924528301,0.022641509433962263,1.3584905660377358,0.8490566037735849,2.830188679245283,0.7358490566037735,0.0,0.03962264150943396,0.0,0.0,-0.2382281030145764,-0.3974104637180559,-0.10976513853023603,-0.3097212925287633
Adam Webster,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,14.0,11.0,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,8.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,9.9,1.0,0.0,0.0,7.0,2.0,1.0,2.0,20.0,6.0,0.0,1.0,0.0,35.0,24.0,6.0,80.0,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,9.9,636.0,725.0,87.7,11765.0,4541.0,242.0,257.0,94.2,333.0,354.0,94.1,53.0,97.0,54.6,0.0,0.5,0.3,0.5,3.0,64.0,2.0,0.0,63.0,691,663.0,eng ENG,DF,Brighton,29.0,1995.0,14.0,887.0,63.0,25.9,9.9,11.0,77.0,8.0,3.0,14.0,7.0,2.29,26.0,11.0,15.0,1.52,1.81,19.0,14.3,4.6,0.47,0.49,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,9.9,10.0,6.0,5.0,4.0,1.0,6.0,14.0,42.9,8.0,16.0,9.0,7.0,20.0,30.0,41.0,2.0,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,9.9,725.0,650.0,73.0,30.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,636.0,2.0,5.0,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,9.9,14.0,1.42,10.0,2.0,0.0,2.0,0.0,0.0,4.0,0.41,2.0,1.0,0.0,1.0,0.0,0.0,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,9.9,824.0,119.0,389.0,399.0,43.0,15.0,824.0,3.0,1.0,33.3,2.0,66.7,476.0,2600.0,1475.0,8.0,6.0,0.0,5.0,1.0,552.0,2.0,569,546.0,eng ENG,DF,Brighton,29.0,1995.0,9.9,0.0,5.0,1.0,20.0,0.51,0.1,0.0,0.0,10.8,0.0,0.0,0.0,0.2,0.2,0.05,0.2,0.2,fbref_2024_25,6.392333709131905,0.8117249154453213,0.10146561443066517,0.3043968432919955,1.4205186020293123,0.05073280721533258,1.0146561443066517,1.836734693877551,3.5512965050732808,1.6234498308906427,0.0,0.020293122886133032,0.10146561443066517,0.0,0.15733344379351832,-0.3391121051586248,0.3904603915950969,-0.31792918636672285
