player,x,y,cluster,team,position
Aaron Cresswell,5.6040864,5.9936404,1,West Ham,DF
Aaron Ramsdale,9.648052,6.476221,0,Southampton,GK
Aaron Wan-Bissaka,1.0191717,5.048904,0,West Ham,DF
Abdoulaye Doucouré,2.2975807,5.242075,0,Everton,MF
Abdukodir Khusanov,6.8819866,8.450378,1,Manchester City,DF
Abdul Fatawu Issahaku,3.9508958,7.7882576,1,Leicester City,FW
Adam Armstrong,4.433535,8.586962,1,Southampton,"FW,MF"
Adam Lallana,5.869165,6.5570946,1,Southampton,MF
Adam Smith,3.8982625,5.7101684,1,Bournemouth,DF
Adam Webster,4.093469,5.880544,1,Brighton,DF
Adam Wharton,3.3743815,6.698567,0,Crystal Palace,MF
Adama Traoré,0.5531622,7.480264,2,Fulham,"FW,MF"
Albert Grønbaek,6.5465775,8.647844,1,Southampton,"FW,MF"
Alejandro Garnacho,0.3922991,7.8916154,2,Manchester Utd,"MF,FW"
Alex Iwobi,-0.15075633,7.7062535,2,Fulham,"FW,MF"
Alex McCarthy,7.698974,6.688107,1,Southampton,GK
Alex Palmer,8.116097,6.877162,1,Ipswich Town,GK
Alex Scott,3.5106826,6.9012785,1,Bournemouth,MF
Alexander Isak,0.05867411,8.180294,2,Newcastle Utd,FW
Alexis Mac Allister,0.5138221,5.8636274,0,Liverpool,MF
Alfie Dorrington,7.496719,9.289192,1,Tottenham,DF
Alfie Pond,7.798636,8.599197,1,Wolves,DF
Ali Al Hamadi,6.49448,9.514256,1,Ipswich Town,FW
Alisson,9.918746,6.006341,0,Liverpool,GK
Alphonse Areola,9.893739,6.0241995,1,West Ham,GK
Altay Bayındır,7.313782,7.6646175,1,Manchester Utd,GK
Amad Diallo,0.19433352,7.7002473,2,Manchester Utd,"MF,FW"
Amadou Onana,2.8101645,6.0519953,0,Aston Villa,MF
Andreas Pereira,0.71637,6.5024915,2,Fulham,MF
Andrew Robertson,1.0177237,5.7616596,0,Liverpool,DF
André,2.3775682,4.658538,0,Wolves,MF
André Onana,9.726792,6.401786,0,Manchester Utd,GK
Andrés García,6.1978297,8.849086,1,Aston Villa,"DF,MF"
Andy Irving,6.2247972,8.620455,1,West Ham,MF
Anthony Elanga,0.11823827,7.1479235,2,Nott'ham Forest,"FW,MF"
Anthony Gordon,-0.13737257,7.206565,2,Newcastle Utd,"FW,MF"
Antoine Semenyo,-0.14343941,7.8243217,2,Bournemouth,FW
Antonee Robinson,0.99128646,5.0564475,0,Fulham,DF
Antony,5.217101,9.122352,1,Manchester Utd,"DF,MF"
Antonín Kinský,7.904534,7.8265266,1,Tottenham,GK
Archie Gray,4.5838532,5.8952236,0,Tottenham,"DF,MF"
Arijanet Muric,9.423326,6.5177693,1,Ipswich Town,GK
Armando Broja,6.1484003,9.044019,1,Everton,FW
Armel Bella Kotchap,6.4854474,8.871573,1,Southampton,DF
Asher Agbinone,6.2171793,9.661367,1,Crystal Palace,MF
Ashley Young,3.2748516,5.913834,0,Everton,DF
Axel Disasi,6.047123,8.189509,1,Aston Villa,DF
Axel Tuanzebe,3.709315,5.7008615,0,Ipswich Town,DF
Ayden Heaven,6.847796,9.082749,1,Manchester Utd,DF
Bart Verbruggen,9.778508,6.4228864,0,Brighton,GK
Ben Brereton,5.609612,8.94711,1,Southampton,FW
Ben Chilwell,4.69953,8.80261,1,Crystal Palace,DF
