player,team,minutes,cluster,centroid_distance,x,y,role_name,is_representative,role_confidence
Aaron Cresswell,West Ham,824.0,1,11.409986504214878,5.6040864,5.9936404,The Balanced Players,False,0.5699926671587239
Aaron Ramsdale,Southampton,2700.0,0,15.194106989113612,9.648052,6.476221,The Enforcers,False,0.42738079323054257
Aaron Wan-Bissaka,West Ham,3122.0,0,13.862232646801148,1.0191717,5.048904,The Enforcers,False,0.4775750448544116
Abdoulaye Doucouré,Everton,2564.0,0,11.401468702133647,2.2975807,5.242075,The Enforcers,False,0.5703136769472339
Abdukodir Khusanov,Manchester City,503.0,1,7.64926405387927,6.8819866,8.450378,The Balanced Players,False,0.711722741057387
Abdul Fatawu Issahaku,Leicester City,579.0,1,11.229039575809086,3.9508958,7.7882576,The Balanced Players,False,0.5768120009099822
Adam Armstrong,Southampton,1248.0,1,12.149890743820235,4.433535,8.586962,The Balanced Players,False,0.5421079498093105
Adam Lallana,Southampton,361.0,1,10.384712509272806,5.869165,6.5570946,The Balanced Players,False,0.6086320937552145
Adam Smith,Bournemouth,1590.0,1,13.292248159413832,3.8982625,5.7101684,The Balanced Players,False,0.49905600884080914
Adam Webster,Brighton,887.0,1,11.230512096645526,4.093469,5.880544,The Balanced Players,False,0.5767565061241473
Adam Wharton,Crystal Palace,1318.0,0,14.431384343794972,3.3743815,6.698567,The Enforcers,False,0.4561254661791
Adama Traoré,Fulham,1772.0,2,10.482538883959187,0.5531622,7.480264,The Attackers,False,0.6049453182761302
Albert Grønbaek,Southampton,143.0,1,6.8889412963341,6.5465775,8.647844,The Balanced Players,False,0.7403769696096949
Alejandro Garnacho,Manchester Utd,2199.0,2,9.571853064487103,0.3922991,7.8916154,The Attackers,False,0.6392662686245731
Alex Iwobi,Fulham,2981.0,2,13.299870887619674,-0.15075633,7.7062535,The Attackers,False,0.49876873163644464
Alex McCarthy,Southampton,450.0,1,10.98752449318671,7.698974,6.688107,The Balanced Players,False,0.5859139622910079
Alex Palmer,Ipswich Town,1170.0,1,9.865994247170235,8.116097,6.877162,The Balanced Players,False,0.6281809912320337
Alex Scott,Bournemouth,755.0,1,10.43988076392727,3.5106826,6.9012785,The Balanced Players,False,0.606552971748128
Alexander Isak,Newcastle Utd,2756.0,2,11.859256276409955,0.05867411,8.180294,The Attackers,False,0.5530610698780041
Alexis Mac Allister,Liverpool,2599.0,0,13.967062765512662,0.5138221,5.8636274,The Enforcers,False,0.47362431978283326
Alfie Dorrington,Tottenham,14.0,1,9.914890636256494,7.496719,9.289192,The Balanced Players,False,0.6263382365671808
Alfie Pond,Wolves,11.0,1,9.402059997773073,7.798636,8.599197,The Balanced Players,False,0.6456652476001986
Ali Al Hamadi,Ipswich Town,134.0,1,7.6525145627908815,6.49448,9.514256,The Balanced Players,False,0.7116002393640727
Alisson,Liverpool,2508.0,0,16.678693576302262,9.918746,6.006341,The Enforcers,False,0.3714312863233167
Alphonse Areola,West Ham,2260.0,1,16.807408999452697,9.893739,6.0241995,The Balanced Players,False,0.3665803975177946
Altay Bayındır,Manchester Utd,360.0,1,9.388212258771963,7.313782,7.6646175,The Balanced Players,False,0.6461871263343715
Amad Diallo,Manchester Utd,1901.0,2,11.173038708791522,0.19433352,7.7002473,The Attackers,False,0.5789225015187364
Amadou Onana,Aston Villa,1617.0,0,9.510915864897155,2.8101645,6.0519953,The Enforcers,False,0.6415628044405279
Andreas Pereira,Fulham,2013.0,2,13.238278800108603,0.71637,6.5024915,The Attackers,False,0.5010899481659277
Andrew Robertson,Liverpool,2482.0,0,13.934517734074578,1.0177237,5.7616596,The Enforcers,False,0.4748508420193631
André,Wolves,2472.0,0,11.42864622297326,2.3775682,4.658538,The Enforcers,False,0.5692894396928634
André Onana,Manchester Utd,3060.0,0,14.960332830501061,9.726792,6.401786,The Enforcers,False,0.4361910229705219
Andrés García,Aston Villa,318.0,1,7.126959114639968,6.1978297,8.849086,The Balanced Players,False,0.7314068093750095
Andy Irving,West Ham,166.0,1,6.651798558774822,6.2247972,8.620455,The Balanced Players,False,0.7493141507398281
Anthony Elanga,Nott'ham Forest,2501.0,2,11.4277025080175,0.11823827,7.1479235,The Attackers,False,0.5693250054098726
Anthony Gordon,Newcastle Utd,2434.0,2,11.362062177675254,-0.13737257,7.206565,The Attackers,False,0.5717987877729687
Antoine Semenyo,Bournemouth,3122.0,2,13.447785402151784,-0.14343941,7.8243217,The Attackers,False,0.4931942880681749
Antonee Robinson,Fulham,3122.0,0,14.795199149747143,0.99128646,5.0564475,The Enforcers,False,0.44241440400581267
Antony,Manchester Utd,141.0,1,12.082773042978634,5.217101,9.122352,The Balanced Players,False,0.5446374097271356
Antonín Kinský,Tottenham,540.0,1,7.766691999703442,7.904534,7.8265266,The Balanced Players,False,0.7072972425902126
Archie Gray,Tottenham,1751.0,0,12.484832897103006,4.5838532,5.8952236,The Enforcers,False,0.5294850092005697
Arijanet Muric,Ipswich Town,1620.0,1,11.562549086766902,9.423326,6.5177693,The Balanced Players,False,0.5642430521885098
Armando Broja,Everton,334.0,1,7.824795097125911,6.1484003,9.044019,The Balanced Players,False,0.7051075153768436
Armel Bella Kotchap,Southampton,331.0,1,11.501094117166142,6.4854474,8.871573,The Balanced Players,False,0.566559101165264
Asher Agbinone,Crystal Palace,11.0,1,14.493056406676109,6.2171793,9.661367,The Balanced Players,False,0.4538012356236528
Ashley Young,Everton,1875.0,0,13.871722637858287,3.2748516,5.913834,The Enforcers,False,0.4772173962505627
Axel Disasi,Aston Villa,490.0,1,5.1728636291292105,6.047123,8.189509,The Balanced Players,True,0.805050664039628
Axel Tuanzebe,Ipswich Town,1710.0,0,11.373400662961336,3.709315,5.7008615,The Enforcers,False,0.571371475101343
Ayden Heaven,Manchester Utd,170.0,1,8.482904628430441,6.847796,9.082749,The Balanced Players,False,0.6803053892595914
Bart Verbruggen,Brighton,3122.0,0,16.231350482370267,9.778508,6.4228864,The Enforcers,False,0.38829027302024255
Ben Brereton,Southampton,449.0,1,7.275229410059668,5.609612,8.94711,The Balanced Players,False,0.7258189575182644
Ben Chilwell,Crystal Palace,259.0,1,9.340888095839581,4.69953,8.80261,The Balanced Players,False,0.6479706286263314
Ben Davies,Tottenham,1331.0,0,11.934916417566162,5.184142,5.3760233,The Enforcers,False,0.550209671632357
Ben Godfrey,Ipswich Town,159.0,1,7.938504858115043,6.5701895,8.382567,The Balanced Players,False,0.7008221438715492
Ben Johnson,Ipswich Town,1354.0,1,10.98373919604017,3.7357328,6.9376817,The Balanced Players,False,0.5860566185096979
Ben Mee,Brentford,183.0,1,9.90062587085133,6.3053184,6.418488,The Balanced Players,False,0.6268758317451607
Ben White,Arsenal,1198.0,1,10.740152168408695,3.8719556,6.152526,The Balanced Players,False,0.595236665131826
Ben Winterburn,Bournemouth,24.0,1,12.383038400957735,7.6048913,8.431954,The Balanced Players,False,0.5333213309849276
Benoît Badiashile,Chelsea,334.0,1,9.202699242908546,6.4028487,8.94638,The Balanced Players,False,0.6531785418920762
Bernardo Silva,Manchester City,2670.0,0,13.407617968576664,0.9559529,5.1774693,The Enforcers,False,0.49470807522053795
Bernd Leno,Fulham,3122.0,0,15.710303806646158,9.937422,6.2487516,The Enforcers,False,0.4079269212521376
Beto,Everton,1534.0,2,13.776309723783497,2.269127,9.140317,The Attackers,False,0.48081321581483283
Bilal El Khannouss,Leicester City,2182.0,0,12.897622592005552,0.91817915,6.530051,The Enforcers,False,0.5139282339437508
Billy Gilmour,Brighton,98.0,1,5.61059239329594,6.3890657,8.612816,The Balanced Players,True,0.7885540118904154
Bobby De Cordova-Reid,Leicester City,744.0,1,11.07932045841468,4.637397,8.463571,The Balanced Players,False,0.582454454415281
Boubacar Kamara,Aston Villa,1726.0,0,7.109160949578903,2.7014024,5.3185267,The Enforcers,True,0.7320775675292414
Boubacar Traoré,Wolves,11.0,1,12.251701373568785,7.637943,8.375358,The Balanced Players,False,0.5382710199990173
Boubakary Soumaré,Leicester City,2171.0,0,8.778178630310377,3.1109917,5.420826,The Enforcers,False,0.6691774193922424
Brajan Gruda,Brighton,687.0,1,13.244566264365451,3.8413684,7.9389405,The Balanced Players,False,0.5008529929570478
