,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,1,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,21.8,1069,1025,38,34,2,1,3,4,0,0,0,0,902,6,14,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,1184,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22,2002,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,15.7,1001,955,43,28,1,11,2,0,0,0,0,0,855,3,5,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,27,1996,33.3,1352,1071,279,15,0,4,59,264,0,0,0,0,994,2,46,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2001,34.5,1721,1397,320,44,3,4,94,246,30,24,1,0,1449,4,42,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,16,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29,1995,22.4,1744,1707,36,18,4,10,11,10,0,0,0,0,1632,1,6,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29,1995,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,21,2002,8.5,278,265,12,2,1,2,11,6,3,2,1,0,224,1,10,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,26.3,1971,1651,310,63,12,32,153,192,55,34,12,1,1448,10,36,Matches
16,Alisson,br BRA,GK,Liverpool,31,1992,27.9,959,836,121,41,1,1,0,0,0,0,0,0,794,2,1,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,30,1994,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2,Matches
18,Olabade Aluko,,DF,Leicester City,,,0,5,4,1,1,0,0,0,0,0,0,0,0,3,0,0,Matches
19,Edson Álvarez,mx MEX,MF,West Ham,26,1997,19.7,1003,980,16,12,3,12,6,3,0,0,0,0,861,7,10,Matches
20,Will Alves,eng ENG,FW,Leicester City,19,2005,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
21,Harry Amass,eng ENG,DF,Manchester Utd,17,2007,3.8,181,150,31,2,0,0,9,29,0,0,0,0,149,0,3,Matches
22,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18,2006,0.3,9,8,1,0,0,0,2,0,1,0,0,0,8,0,0,Matches
23,Mathis Amougou,fr FRA,MF,Chelsea,18,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
24,Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,28,1996,28.7,2000,1891,102,81,0,35,12,9,0,0,0,0,1654,7,8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Elliot Anderson,eng ENG,MF,Nott'ham Forest,21,2002,30.3,1386,1292,85,26,7,4,86,2,48,17,28,0,1085,9,35,Matches
27,André,br BRA,MF,Wolves,23,2001,27.5,1342,1308,32,28,5,15,0,2,0,0,0,0,1247,2,14,Matches
28,Michail Antonio,jm JAM,FW,West Ham,34,1990,9.3,188,175,11,0,3,6,25,7,0,0,0,0,114,2,14,Matches
29,Antony,br BRA,"DF,MF",Manchester Utd,24,2000,1.6,69,62,7,2,0,0,5,5,0,0,0,0,56,0,1,Matches
30,Julian Araujo,mx MEX,DF,Bournemouth,22,2001,5.5,225,198,27,2,0,0,9,25,0,0,0,0,178,0,2,Matches
31,Cameron Archer,eng ENG,FW,Southampton,23,2001,16,251,231,19,0,2,0,3,0,0,0,0,0,205,1,8,Matches
32,Alphonse Areola,fr FRA,GK,West Ham,31,1993,25.1,989,716,268,72,0,3,0,0,0,0,0,0,688,5,3,Matches
33,Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,22.4,1046,1032,13,4,2,1,10,4,0,0,0,0,929,1,15,Matches
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,288,268,18,0,0,1,14,3,0,0,0,0,231,2,12,Matches
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0,Matches
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,1027,728,295,103,0,0,0,0,0,0,0,0,752,4,2,Matches
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,313,271,39,14,2,1,38,0,23,11,1,0,242,3,8,Matches
38,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0,Matches
