,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,1,73,2,19,40,15,0,73,2,0,0,1,50,41,152,68,1,0,0,1,0,40,3,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,1.9,137,7,48,81,8,3,137,2,1,50,0,0,106,709,409,0,2,0,2,0,111,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,21.8,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22,2002,12.2,548,10,66,174,315,76,548,50,21,42,27,54,366,2514,1300,50,21,27,39,12,388,136,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,0.1,8,0,0,2,6,0,8,2,0,0,1,50,5,53,23,2,0,0,0,1,5,1,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,27,1996,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,823,67,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2001,34.5,2148,96,577,916,685,96,2148,137,63,46,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,16,795,53,265,368,168,38,795,16,7,43.8,8,50,387,2098,1180,27,11,2,15,12,491,44,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29,1995,22.4,1881,119,559,920,405,19,1881,2,2,100,0,0,1254,6953,4234,46,64,0,5,5,1483,7,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29,1995,7.5,596,51,205,331,61,5,596,1,1,100,0,0,403,2244,1501,12,12,1,4,3,449,2,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,0.1,17,0,1,8,9,2,17,2,0,0,2,100,12,112,98,4,1,0,0,0,12,1,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,21,2002,8.5,378,15,63,168,156,19,378,18,9,50,7,38.9,211,1331,707,19,21,2,14,13,247,21,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,26.3,2253,88,593,1014,660,44,2253,37,17,45.9,17,45.9,1184,5358,2860,51,36,9,19,15,1436,94,Matches
16,Alisson,br BRA,GK,Liverpool,31,1992,27.9,1010,741,990,20,0,0,1010,1,1,100,0,0,658,2611,1586,0,0,0,1,0,618,0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,30,1994,1.7,81,1,10,35,36,9,81,2,1,50,1,50,54,284,93,3,3,2,0,2,59,18,Matches
18,Olabade Aluko,,DF,Leicester City,,,0,6,0,0,6,1,0,6,1,0,0,1,100,2,1,0,0,0,0,0,1,2,0,Matches
19,Edson Álvarez,mx MEX,MF,West Ham,26,1997,19.7,1239,67,361,693,194,12,1239,33,14,42.4,14,42.4,687,3783,1714,24,22,2,27,15,830,18,Matches
20,Will Alves,eng ENG,FW,Leicester City,19,2005,0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
21,Harry Amass,eng ENG,DF,Manchester Utd,17,2007,3.8,250,13,82,88,84,5,250,8,3,37.5,4,50,132,705,376,9,6,2,18,5,124,23,Matches
22,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18,2006,0.3,16,0,5,5,7,1,16,4,0,0,3,75,11,98,68,1,0,1,0,2,11,3,Matches
23,Mathis Amougou,fr FRA,MF,Chelsea,18,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0,Matches
24,Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,28,1996,28.7,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0,1350,6505,3435,16,14,1,6,3,1621,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Elliot Anderson,eng ENG,MF,Nott'ham Forest,21,2002,30.3,1832,102,424,891,547,72,1832,75,36,48,30,40,932,5071,2366,52,32,21,60,49,1089,95,Matches
27,André,br BRA,MF,Wolves,23,2001,27.5,1623,89,439,1046,155,3,1623,32,16,50,12,37.5,912,3764,1688,10,17,0,30,21,1093,11,Matches
28,Michail Antonio,jm JAM,FW,West Ham,34,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches
29,Antony,br BRA,"DF,MF",Manchester Utd,24,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,Matches
30,Julian Araujo,mx MEX,DF,Bournemouth,22,2001,5.5,275,20,90,136,55,2,275,1,0,0,1,100,126,482,258,4,3,0,5,2,149,22,Matches
31,Cameron Archer,eng ENG,FW,Southampton,23,2001,16,398,16,69,179,154,52,397,37,15,40.5,20,54.1,226,1182,564,22,10,14,40,26,274,66,Matches
32,Alphonse Areola,fr FRA,GK,West Ham,31,1993,25.1,1049,833,1038,12,0,0,1049,0,0,,0,,601,2480,1348,0,0,0,0,0,555,0,Matches
33,Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,22.4,1271,52,313,670,299,44,1271,49,21,42.9,22,44.9,745,4068,2021,36,29,12,27,19,925,65,Matches
34,Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,20,0,3,12,7,2,20,1,1,100,0,0,15,110,43,1,2,0,2,3,14,0,Matches
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,1087,800,1057,29,1,1,1087,1,1,100,0,0,621,3129,1797,0,0,0,0,0,486,0,Matches
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,386,6,38,158,200,30,384,19,12,63.2,5,26.3,242,1466,682,22,21,5,9,8,265,38,Matches
38,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches
39,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,4.6,167,5,16,78,74,21,167,9,4,44.4,5,55.6,90,402,183,6,5,2,19,19,113,20,Matches
40,Yasin Ayari,se SWE,MF,Brighton,20,2003,21.8,1233,58,275,624,354,45,1233,45,18,40,18,40,655,3244,1466,30,25,6,38,22,801,61,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
42,Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,18.2,798,21,103,407,312,55,797,64,26,40.6,32,50,479,3374,1540,49,37,11,63,40,540,86,Matches
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,336,31,138,186,13,0,336,1,0,0,1,100,177,660,340,3,5,0,1,0,247,2,Matches
44,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,12.7,545,18,77,155,323,70,545,57,22,38.6,24,42.1,348,2582,1371,58,23,34,35,25,390,121,Matches
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,1697,94,410,994,339,12,1697,57,33,57.9,20,35.1,971,5692,2810,43,45,3,39,42,1035,29,Matches
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,464,17,75,275,121,19,464,16,12,75,4,25,277,1560,733,15,15,2,7,8,328,10,Matches
47,Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,19.5,810,17,97,257,462,128,810,64,24,37.5,33,51.6,561,4196,2467,93,48,47,33,23,647,192,Matches
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15,Matches
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,168,145,166,2,0,0,168,0,0,,0,,110,432,196,0,0,0,0,0,103,0,Matches
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,2049,386,1091,924,41,15,2049,3,3,100,0,0,1046,3845,1742,5,5,1,9,3,1307,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,263,33,147,115,3,1,263,1,0,0,1,100,186,936,326,0,0,0,1,0,192,0,Matches
52,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,18.6,843,24,148,394,318,48,843,61,14,23,31,50.8,528,3269,1573,52,38,11,42,29,592,89,Matches
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,18.3,1302,76,323,774,216,24,1302,19,9,47.4,8,42.1,764,3568,1502,28,24,5,19,20,848,34,Matches
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,69,50,68,1,0,0,69,0,0,,0,,39,218,134,0,0,0,0,0,26,0,Matches
